Game,Team,,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2020-08-06 - Maple Leafs 3, Blue Jackets 4",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,78.4,82,78,51.25,58,58,50,43,36,54.43,4,3,57.14,2.45,2.96,45.32,39,43,47.56,14,17,45.16,10,13,43.48,1,1,50,10,92.31,25,26,49.02,7,6,53.85,1,1,50,14.29,83.33,40,31,56.34,25,16,60.98,2,1,66.67,8,93.75,9.3,91.67,1.01,0
"2020-08-06 - Maple Leafs 3, Blue Jackets 4",Toronto Maple Leafs,Limited ReportFull ReportSeries Report,78.4,78,82,48.75,58,58,50,36,43,45.57,3,4,42.86,2.96,2.45,54.68,43,39,52.44,17,14,54.84,13,10,56.52,1,1,50,7.69,90,26,25,50.98,6,7,46.15,1,1,50,16.67,85.71,31,40,43.66,16,25,39.02,1,2,33.33,6.25,92,8.33,90.7,0.99,0
"2020-08-07 - Canucks 5, Wild 4",Minnesota Wild,Limited ReportFull ReportSeries Report,60.183333333333,49,62,44.14,38,43,46.91,29,31,48.33,4,5,44.44,2.63,2.63,49.98,19,21,47.5,9,13,40.91,7,10,41.18,2,2,50,28.57,80,10,8,55.56,2,3,40,0,0,-,0,100,28,35,44.44,18,17,51.43,2,3,40,11.11,82.35,13.79,83.87,0.977,0
"2020-08-07 - Canucks 5, Wild 4",Vancouver Canucks,Limited ReportFull ReportSeries Report,60.183333333333,62,49,55.86,43,38,53.09,31,29,51.67,5,4,55.56,2.63,2.63,50.02,21,19,52.5,13,9,59.09,10,7,58.82,2,2,50,20,71.43,8,10,44.44,3,2,60,0,0,-,0,100,35,28,55.56,17,18,48.57,3,2,60,17.65,88.89,16.13,86.21,1.023,0
"2020-08-07 - Islanders 5, Panthers 1",Florida Panthers,Limited ReportFull ReportSeries Report,60,70,60,53.85,39,48,44.83,25,38,39.68,1,5,16.67,2.56,4.19,37.96,41,30,57.75,14,13,51.85,7,9,43.75,0,2,0,0,77.78,27,17,61.36,8,10,44.44,0,1,0,0,90,24,24,50,9,16,36,1,2,33.33,11.11,87.5,4,86.84,0.908,0
"2020-08-07 - Islanders 5, Panthers 1",New York Islanders,Limited ReportFull ReportSeries Report,60,60,70,46.15,48,39,55.17,38,25,60.32,5,1,83.33,4.19,2.56,62.04,30,41,42.25,13,14,48.15,9,7,56.25,2,0,100,22.22,100,17,27,38.64,10,8,55.56,1,0,100,10,100,24,24,50,16,9,64,2,1,66.67,12.5,88.89,13.16,96,1.092,0
"2020-08-07 - Maple Leafs 4, Blue Jackets 3",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,73.166666666667,74,83,47.13,59,63,48.36,39,53,42.39,3,4,42.86,4.06,2.96,57.77,33,38,46.48,5,8,38.46,5,8,38.46,1,1,50,20,87.5,28,30,48.28,12,17,41.38,1,3,25,8.33,82.35,38,41,48.1,20,25,44.44,1,0,100,5,100,7.69,92.45,1.001,0
"2020-08-07 - Maple Leafs 4, Blue Jackets 3",Toronto Maple Leafs,Limited ReportFull ReportSeries Report,73.166666666667,83,74,52.87,63,59,51.64,53,39,57.61,4,3,57.14,2.96,4.06,42.23,38,33,53.52,8,5,61.54,8,5,61.54,1,1,50,12.5,80,30,28,51.72,17,12,58.62,3,1,75,17.65,91.67,41,38,51.9,25,20,55.56,0,1,0,0,95,7.55,92.31,0.999,0
"2020-08-07 - Oilers 2, Blackhawks 3",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,47,73,39.17,37,52,41.57,29,45,39.19,3,2,60,2.36,4.49,34.42,25,45,35.71,13,23,36.11,11,18,37.93,2,1,66.67,18.18,94.44,12,22,35.29,8,10,44.44,1,1,50,12.5,90,18,26,40.91,8,17,32,0,0,-,0,100,10.34,95.56,1.059,0
"2020-08-07 - Oilers 2, Blackhawks 3",Edmonton Oilers,Limited ReportFull ReportSeries Report,60,73,47,60.83,52,37,58.43,45,29,60.81,2,3,40,4.49,2.36,65.58,45,25,64.29,23,13,63.89,18,11,62.07,1,2,33.33,5.56,81.82,22,12,64.71,10,8,55.56,1,1,50,10,87.5,26,18,59.09,17,8,68,0,0,-,0,100,4.44,89.66,0.941,0
"2020-08-07 - Penguins 0, Canadiens 2",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,55,47,53.92,37,31,54.41,22,22,50,2,0,100,2.29,1.31,63.69,16,13,55.17,7,3,70,3,3,50,1,0,100,33.33,100,9,10,47.37,2,5,28.57,0,0,-,0,100,25,32,43.86,12,14,46.15,0,0,-,0,100,9.09,100,1.091,0
"2020-08-07 - Penguins 0, Canadiens 2",Pittsburgh Penguins,Limited ReportFull ReportSeries Report,60,47,55,46.08,31,37,45.59,22,22,50,0,2,0,1.31,2.29,36.31,13,16,44.83,3,7,30,3,3,50,0,1,0,0,66.67,10,9,52.63,5,2,71.43,0,0,-,0,100,32,25,56.14,14,12,53.85,0,0,-,0,100,0,90.91,0.909,0
"2020-08-07 - Predators 3, Coyotes 4",Arizona Coyotes,Limited ReportFull ReportSeries Report,65.45,66,87,43.14,44,67,39.64,34,52,39.53,4,3,57.14,2.02,3.11,39.36,32,31,50.79,11,16,40.74,7,11,38.89,1,2,33.33,14.29,81.82,21,15,58.33,12,7,63.16,2,0,100,16.67,100,33,53,38.37,15,32,31.91,1,1,50,6.67,96.88,11.76,94.23,1.06,0
"2020-08-07 - Predators 3, Coyotes 4",Nashville Predators,Limited ReportFull ReportSeries Report,65.45,87,66,56.86,67,44,60.36,52,34,60.47,3,4,42.86,3.11,2.02,60.64,31,32,49.21,16,11,59.26,11,7,61.11,2,1,66.67,18.18,85.71,15,21,41.67,7,12,36.84,0,2,0,0,83.33,53,33,61.63,32,15,68.09,1,1,50,3.13,93.33,5.77,88.24,0.94,0
"2020-08-08 - Flyers 4, Lightning 1",Philadelphia Flyers,Limited ReportFull Report,60,47,62,43.12,35,38,47.95,30,24,55.56,4,1,80,3.3,2.07,61.49,21,27,43.75,11,4,73.33,9,3,75,3,1,75,33.33,66.67,10,23,30.3,8,8,50,1,0,100,12.5,100,21,29,42,9,11,45,0,0,-,0,100,13.33,95.83,1.092,0
"2020-08-08 - Flyers 4, Lightning 1",Tampa Bay Lightning,Limited ReportFull Report,60,62,47,56.88,38,35,52.05,24,30,44.44,1,4,20,2.07,3.3,38.51,27,21,56.25,4,11,26.67,3,9,25,1,3,25,33.33,66.67,23,10,69.7,8,8,50,0,1,0,0,87.5,29,21,58,11,9,55,0,0,-,0,100,4.17,86.67,0.908,0
"2020-08-08 - Golden Knights 4, Avalanche 3",Colorado Avalanche,Limited ReportFull Report,64.733333333333,65,49,57.02,42,36,53.85,35,26,57.38,3,4,42.86,3.68,2.04,64.33,36,23,61.02,15,11,57.69,14,8,63.64,3,3,50,21.43,62.5,21,12,63.64,10,8,55.56,0,1,0,0,87.5,24,23,51.06,9,8,52.94,0,0,-,0,100,8.57,84.62,0.932,0
"2020-08-08 - Golden Knights 4, Avalanche 3",Vegas Golden Knights,Limited ReportFull Report,64.733333333333,49,65,42.98,36,42,46.15,26,35,42.62,4,3,57.14,2.04,3.68,35.67,23,36,38.98,11,15,42.31,8,14,36.36,3,3,50,37.5,78.57,12,21,36.36,8,10,44.44,1,0,100,12.5,100,23,24,48.94,8,9,47.06,0,0,-,0,100,15.38,91.43,1.068,0
"2020-08-09 - Blue Jackets 3, Maple Leafs 0",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,60,45,57,44.12,29,43,40.28,22,33,40,3,0,100,2.43,1.88,56.45,24,26,48,9,9,50,6,4,60,1,0,100,16.67,100,15,17,46.88,6,7,46.15,0,0,-,0,100,15,28,34.88,8,20,28.57,2,0,100,25,100,13.64,100,1.136,0
"2020-08-09 - Blue Jackets 3, Maple Leafs 0",Toronto Maple Leafs,Limited ReportFull ReportSeries Report,60,57,45,55.88,43,29,59.72,33,22,60,0,3,0,1.88,2.43,43.55,26,24,52,9,9,50,4,6,40,0,1,0,0,83.33,17,15,53.13,7,6,53.85,0,0,-,0,100,28,15,65.12,20,8,71.43,0,2,0,0,75,0,86.36,0.864,0
"2020-08-09 - Bruins 1, Capitals 2",Boston Bruins,Limited ReportFull Report,60,68,51,57.14,47,37,55.95,31,25,55.36,1,2,33.33,2.56,2.19,53.88,36,25,59.02,14,5,73.68,11,4,73.33,1,1,50,9.09,75,22,20,52.38,5,8,38.46,0,1,0,0,87.5,26,22,54.17,10,12,45.45,0,0,-,0,100,3.23,92,0.952,0
"2020-08-09 - Bruins 1, Capitals 2",Washington Capitals,Limited ReportFull Report,60,51,68,42.86,37,47,44.05,25,31,44.64,2,1,66.67,2.19,2.56,46.12,25,36,40.98,5,14,26.32,4,11,26.67,1,1,50,25,90.91,20,22,47.62,8,5,61.54,1,0,100,12.5,100,22,26,45.83,12,10,54.55,0,0,-,0,100,8,96.77,1.048,0
"2020-08-11 - Blackhawks 1, Golden Knights 4",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,50,58,46.3,32,46,41.03,20,34,37.04,1,4,20,2.17,2.29,48.68,27,21,56.25,9,10,47.37,7,8,46.67,1,2,33.33,14.29,75,18,11,62.07,6,5,54.55,0,0,-,0,100,19,32,37.25,6,18,25,0,2,0,0,88.89,5,88.24,0.932,0
"2020-08-11 - Blackhawks 1, Golden Knights 4",Vegas Golden Knights,Limited ReportFull ReportSeries Report,60,58,50,53.7,46,32,58.97,34,20,62.96,4,1,80,2.29,2.17,51.32,21,27,43.75,10,9,52.63,8,7,53.33,2,1,66.67,25,85.71,11,18,37.93,5,6,45.45,0,0,-,0,100,32,19,62.75,18,6,75,2,0,100,11.11,100,11.76,95,1.068,0
"2020-08-11 - Blue Jackets 2, Lightning 3",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,150.45,111,188,37.12,81,126,39.13,63,88,41.72,2,3,40,3.57,7.03,33.66,43,88,32.82,12,26,31.58,11,19,36.67,1,2,33.33,9.09,89.47,31,62,33.33,15,23,39.47,0,1,0,0,95.65,60,92,39.47,31,44,41.33,1,0,100,3.23,100,3.17,96.59,0.998,0
"2020-08-11 - Blue Jackets 2, Lightning 3",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,150.45,188,111,62.88,126,81,60.87,88,63,58.28,3,2,60,7.03,3.57,66.34,88,43,67.18,26,12,68.42,19,11,63.33,2,1,66.67,10.53,90.91,62,31,66.67,23,15,60.53,1,0,100,4.35,100,92,60,60.53,44,31,58.67,0,1,0,0,96.77,3.41,96.83,1.002,0
"2020-08-11 - Flames 3, Stars 2",Calgary Flames,Limited ReportFull ReportSeries Report,60,53,56,48.62,40,38,51.28,26,26,50,3,2,60,2.79,1.13,71.2,23,13,63.89,7,3,70,6,3,66.67,1,0,100,16.67,100,16,10,61.54,6,2,75,1,0,100,16.67,100,24,39,38.1,13,19,40.63,1,2,33.33,7.69,89.47,11.54,92.31,1.038,0
"2020-08-11 - Flames 3, Stars 2",Dallas Stars,Limited ReportFull ReportSeries Report,60,56,53,51.38,38,40,48.72,26,26,50,2,3,40,1.13,2.79,28.8,13,23,36.11,3,7,30,3,6,33.33,0,1,0,0,83.33,10,16,38.46,2,6,25,0,1,0,0,83.33,39,24,61.9,19,13,59.38,2,1,66.67,10.53,92.31,7.69,88.46,0.962,0
"2020-08-12 - Canadiens 1, Flyers 2",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,65,58,52.85,51,41,55.43,28,31,47.46,1,2,33.33,3.15,2.28,58,33,29,53.23,17,10,62.96,13,7,65,1,1,50,7.69,85.71,16,19,45.71,2,10,16.67,0,1,0,0,90,28,25,52.83,12,11,52.17,0,0,-,0,100,3.57,93.55,0.971,0
"2020-08-12 - Canadiens 1, Flyers 2",Philadelphia Flyers,Limited ReportFull ReportSeries Report,60,58,65,47.15,41,51,44.57,31,28,52.54,2,1,66.67,2.28,3.15,42,29,33,46.77,10,17,37.04,7,13,35,1,1,50,14.29,92.31,19,16,54.29,10,2,83.33,1,0,100,10,100,25,28,47.17,11,12,47.83,0,0,-,0,100,6.45,96.43,1.029,0
"2020-08-12 - Canucks 5, Blues 2",St Louis Blues,Limited ReportFull ReportSeries Report,60,62,49,55.86,44,37,54.32,31,22,58.49,2,5,28.57,2.41,2.5,49.01,21,22,48.84,10,9,52.63,4,5,44.44,1,1,50,25,80,11,13,45.83,6,4,60,1,2,33.33,16.67,50,37,22,62.71,21,12,63.64,0,2,0,0,83.33,6.45,77.27,0.837,0
"2020-08-12 - Canucks 5, Blues 2",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,49,62,44.14,37,44,45.68,22,31,41.51,5,2,71.43,2.5,2.41,50.99,22,21,51.16,9,10,47.37,5,4,55.56,1,1,50,20,75,13,11,54.17,4,6,40,2,1,66.67,50,83.33,22,37,37.29,12,21,36.36,2,0,100,16.67,100,22.73,93.55,1.163,0
"2020-08-12 - Coyotes 0, Avalanche 3",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,47,69,40.52,26,47,35.62,14,40,25.93,0,3,0,1.11,2.1,34.68,17,33,34,3,8,27.27,0,6,0,0,3,0,-,50,14,25,35.9,4,14,22.22,0,0,-,0,100,29,33,46.77,10,18,35.71,0,0,-,0,100,0,92.5,0.925,0
"2020-08-12 - Coyotes 0, Avalanche 3",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,69,47,59.48,47,26,64.38,40,14,74.07,3,0,100,2.1,1.11,65.32,33,17,66,8,3,72.73,6,0,100,3,0,100,50,-,25,14,64.1,14,4,77.78,0,0,-,0,100,33,29,53.23,18,10,64.29,0,0,-,0,100,7.5,100,1.075,0
"2020-08-12 - Hurricanes 3, Bruins 4",Boston Bruins,Limited ReportFull ReportSeries Report,81.216666666667,86,74,53.75,58,44,56.86,40,28,58.82,4,3,57.14,2.92,2.52,53.74,48,37,56.47,15,13,53.57,7,7,50,3,1,75,42.86,85.71,33,24,57.89,14,6,70,1,1,50,7.14,83.33,32,32,50,16,12,57.14,0,1,0,0,91.67,10,89.29,0.993,0
"2020-08-12 - Hurricanes 3, Bruins 4",Carolina Hurricanes,Limited ReportFull ReportSeries Report,81.216666666667,74,86,46.25,44,58,43.14,28,40,41.18,3,4,42.86,2.52,2.92,46.26,37,48,43.53,13,15,46.43,7,7,50,1,3,25,14.29,57.14,24,33,42.11,6,14,30,1,1,50,16.67,92.86,32,32,50,12,16,42.86,1,0,100,8.33,100,10.71,90,1.007,0
"2020-08-12 - Islanders 4, Capitals 2",New York Islanders,Limited ReportFull ReportSeries Report,60,47,54,46.53,34,38,47.22,27,26,50.94,4,2,66.67,2.61,3.24,44.58,26,21,55.32,10,10,50,9,8,52.94,2,2,50,22.22,75,16,11,59.26,9,6,60,2,0,100,22.22,100,16,27,37.21,8,10,44.44,0,0,-,0,100,14.81,92.31,1.071,0
"2020-08-12 - Islanders 4, Capitals 2",Washington Capitals,Limited ReportFull ReportSeries Report,60,54,47,53.47,38,34,52.78,26,27,49.06,2,4,33.33,3.24,2.61,55.42,21,26,44.68,10,10,50,8,9,47.06,2,2,50,25,77.78,11,16,40.74,6,9,40,0,2,0,0,77.78,27,16,62.79,10,8,55.56,0,0,-,0,100,7.69,85.19,0.929,0
"2020-08-13 - Blackhawks 3, Golden Knights 4",Chicago Blackhawks,Limited ReportFull ReportSeries Report,67.216666666667,59,74,44.36,32,54,37.21,25,39,39.06,3,4,42.86,1.86,3.18,36.9,28,43,39.44,9,15,37.5,7,8,46.67,2,3,40,28.57,62.5,19,28,40.43,5,13,27.78,1,1,50,20,92.31,27,28,49.09,12,15,44.44,0,0,-,0,100,12,89.74,1.017,0
"2020-08-13 - Blackhawks 3, Golden Knights 4",Vegas Golden Knights,Limited ReportFull ReportSeries Report,67.216666666667,74,59,55.64,54,32,62.79,39,25,60.94,4,3,57.14,3.18,1.86,63.1,43,28,60.56,15,9,62.5,8,7,53.33,3,2,60,37.5,71.43,28,19,59.57,13,5,72.22,1,1,50,7.69,80,28,27,50.91,15,12,55.56,0,0,-,0,100,10.26,88,0.983,0
"2020-08-13 - Blue Jackets 3, Lightning 1",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,60,46,69,40,32,48,40,22,37,37.29,3,1,75,2.04,2.39,46.05,22,34,39.29,9,11,45,6,9,40,3,1,75,50,88.89,13,23,36.11,7,8,46.67,0,0,-,0,100,21,34,38.18,8,20,28.57,0,0,-,0,100,13.64,97.3,1.109,0
"2020-08-13 - Blue Jackets 3, Lightning 1",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,60,69,46,60,48,32,60,37,22,62.71,1,3,25,2.39,2.04,53.95,34,22,60.71,11,9,55,9,6,60,1,3,25,11.11,50,23,13,63.89,8,7,53.33,0,0,-,0,100,34,21,61.82,20,8,71.43,0,0,-,0,100,2.7,86.36,0.891,0
"2020-08-13 - Flames 4, Stars 5",Calgary Flames,Limited ReportFull ReportSeries Report,60,50,57,46.73,33,47,41.25,26,36,41.94,4,5,44.44,1.96,2.79,41.24,15,25,37.5,6,11,35.29,6,7,46.15,3,2,60,50,71.43,9,14,39.13,3,10,23.08,0,2,0,0,80,29,27,51.79,16,16,50,1,1,50,6.25,93.75,15.38,86.11,1.015,0
"2020-08-13 - Flames 4, Stars 5",Dallas Stars,Limited ReportFull ReportSeries Report,60,57,50,53.27,47,33,58.75,36,26,58.06,5,4,55.56,2.79,1.96,58.76,25,15,62.5,11,6,64.71,7,6,53.85,2,3,40,28.57,50,14,9,60.87,10,3,76.92,2,0,100,20,100,27,29,48.21,16,16,50,1,1,50,6.25,93.75,13.89,84.62,0.985,0
"2020-08-13 - Hurricanes 3, Bruins 2",Boston Bruins,Limited ReportFull ReportSeries Report,60,68,58,53.97,50,43,53.76,35,26,57.38,2,3,40,2.27,2.04,52.68,20,25,44.44,8,7,53.33,6,3,66.67,1,0,100,16.67,100,12,18,40,3,8,27.27,0,2,0,0,75,43,25,63.24,25,14,64.1,1,1,50,4,92.86,5.71,88.46,0.942,0
"2020-08-13 - Hurricanes 3, Bruins 2",Carolina Hurricanes,Limited ReportFull ReportSeries Report,60,58,68,46.03,43,50,46.24,26,35,42.62,3,2,60,2.04,2.27,47.32,25,20,55.56,7,8,46.67,3,6,33.33,0,1,0,0,83.33,18,12,60,8,3,72.73,2,0,100,25,100,25,43,36.76,14,25,35.9,1,1,50,7.14,96,11.54,94.29,1.058,0
"2020-08-14 - Canadiens 5, Flyers 0",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,70,65,51.85,45,54,45.45,32,30,51.61,5,0,100,2.99,3.23,48.06,39,29,57.35,16,10,61.54,8,3,72.73,2,0,100,25,100,23,19,54.76,9,11,45,1,0,100,11.11,100,28,33,45.9,12,16,42.86,2,0,100,16.67,100,15.63,100,1.156,0
"2020-08-14 - Canadiens 5, Flyers 0",Philadelphia Flyers,Limited ReportFull ReportSeries Report,60,65,70,48.15,54,45,54.55,30,32,48.39,0,5,0,3.23,2.99,51.94,29,39,42.65,10,16,38.46,3,8,27.27,0,2,0,0,75,19,23,45.24,11,9,55,0,1,0,0,88.89,33,28,54.1,16,12,57.14,0,2,0,0,83.33,0,84.38,0.844,0
"2020-08-14 - Canucks 4, Blues 3",St Louis Blues,Limited ReportFull ReportSeries Report,65.916666666667,72,45,61.54,47,32,59.49,37,25,59.68,3,4,42.86,2.4,2.69,47.15,28,23,54.9,11,14,44,10,13,43.48,2,4,33.33,20,69.23,17,9,65.38,9,2,81.82,1,0,100,11.11,100,36,19,65.45,17,8,68,0,0,-,0,100,8.11,84,0.921,0
"2020-08-14 - Canucks 4, Blues 3",Vancouver Canucks,Limited ReportFull ReportSeries Report,65.916666666667,45,72,38.46,32,47,40.51,25,37,40.32,4,3,57.14,2.69,2.4,52.85,23,28,45.1,14,11,56,13,10,56.52,4,2,66.67,30.77,80,9,17,34.62,2,9,18.18,0,1,0,0,88.89,19,36,34.55,8,17,32,0,0,-,0,100,16,91.89,1.079,0
"2020-08-14 - Coyotes 2, Avalanche 3",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,58,55,51.33,43,40,51.81,33,28,54.1,2,3,40,2.42,2.88,45.66,24,20,54.55,11,7,61.11,8,6,57.14,1,2,33.33,12.5,66.67,13,13,50,5,7,41.67,1,1,50,20,85.71,33,32,50.77,20,14,58.82,0,0,-,0,100,6.06,89.29,0.953,0
"2020-08-14 - Coyotes 2, Avalanche 3",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,55,58,48.67,40,43,48.19,28,33,45.9,3,2,60,2.88,2.42,54.34,20,24,45.45,7,11,38.89,6,8,42.86,2,1,66.67,33.33,87.5,13,13,50,7,5,58.33,1,1,50,14.29,80,32,33,49.23,14,20,41.18,0,0,-,0,100,10.71,93.94,1.047,0
"2020-08-14 - Islanders 5, Capitals 2",New York Islanders,Limited ReportFull ReportSeries Report,60,59,55,51.75,42,37,53.16,32,25,56.14,5,2,71.43,2.58,1.41,64.65,28,27,50.91,15,9,62.5,12,6,66.67,3,2,60,25,66.67,13,18,41.94,4,7,36.36,0,0,-,0,100,25,22,53.19,12,7,63.16,1,0,100,8.33,100,15.63,92,1.076,0
"2020-08-14 - Islanders 5, Capitals 2",Washington Capitals,Limited ReportFull ReportSeries Report,60,55,59,48.25,37,42,46.84,25,32,43.86,2,5,28.57,1.41,2.58,35.35,27,28,49.09,9,15,37.5,6,12,33.33,2,3,40,33.33,75,18,13,58.06,7,4,63.64,0,0,-,0,100,22,25,46.81,7,12,36.84,0,1,0,0,91.67,8,84.38,0.924,0
"2020-08-14 - Stars 0, Flames 2",Calgary Flames,Limited ReportFull ReportSeries Report,60,37,76,32.74,28,54,34.15,23,35,39.66,2,0,100,1.52,3.06,33.17,13,37,26,6,10,37.5,6,7,46.15,1,0,100,16.67,100,7,27,20.59,3,10,23.08,0,0,-,0,100,21,35,37.5,12,16,42.86,1,0,100,8.33,100,8.7,100,1.087,0
"2020-08-14 - Stars 0, Flames 2",Dallas Stars,Limited ReportFull ReportSeries Report,60,76,37,67.26,54,28,65.85,35,23,60.34,0,2,0,3.06,1.52,66.83,37,13,74,10,6,62.5,7,6,53.85,0,1,0,0,83.33,27,7,79.41,10,3,76.92,0,0,-,0,100,35,21,62.5,16,12,57.14,0,1,0,0,91.67,0,91.3,0.913,0
"2020-08-15 - Avalanche 2, Coyotes 4",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,39,92,29.77,31,65,32.29,23,51,31.08,4,2,66.67,3.36,3.28,50.59,24,39,38.1,13,16,44.83,8,10,44.44,2,0,100,25,100,11,23,32.35,6,12,33.33,1,2,33.33,16.67,83.33,13,46,22.03,8,27,22.86,1,0,100,12.5,100,17.39,96.08,1.135,0
"2020-08-15 - Avalanche 2, Coyotes 4",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,92,39,70.23,65,31,67.71,51,23,68.92,2,4,33.33,3.28,3.36,49.41,39,24,61.9,16,13,55.17,10,8,55.56,0,2,0,0,75,23,11,67.65,12,6,66.67,2,1,66.67,16.67,83.33,46,13,77.97,27,8,77.14,0,1,0,0,87.5,3.92,82.61,0.865,0
"2020-08-15 - Bruins 3, Hurricanes 1",Boston Bruins,Limited ReportFull ReportSeries Report,60,69,50,57.98,50,41,54.95,39,30,56.52,3,1,75,4.09,1.75,70.02,36,17,67.92,13,4,76.47,11,4,73.33,3,1,75,27.27,75,23,13,63.89,11,7,61.11,0,0,-,0,100,29,29,50,14,15,48.28,0,0,-,0,100,7.69,96.67,1.044,0
"2020-08-15 - Bruins 3, Hurricanes 1",Carolina Hurricanes,Limited ReportFull ReportSeries Report,60,50,69,42.02,41,50,45.05,30,39,43.48,1,3,25,1.75,4.09,29.98,17,36,32.08,4,13,23.53,4,11,26.67,1,3,25,25,72.73,13,23,36.11,7,11,38.89,0,0,-,0,100,29,29,50,15,14,51.72,0,0,-,0,100,3.33,92.31,0.956,0
"2020-08-15 - Golden Knights 2, Blackhawks 1",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,52,62,45.61,37,45,45.12,27,26,50.94,1,2,33.33,2.08,4.51,31.59,23,26,46.94,10,11,47.62,7,9,43.75,0,2,0,0,77.78,13,15,46.43,10,7,58.82,1,0,100,10,100,24,30,44.44,8,9,47.06,0,0,-,0,100,3.7,92.31,0.96,0
"2020-08-15 - Golden Knights 2, Blackhawks 1",Vegas Golden Knights,Limited ReportFull ReportSeries Report,60,62,52,54.39,45,37,54.88,26,27,49.06,2,1,66.67,4.51,2.08,68.41,26,23,53.06,11,10,52.38,9,7,56.25,2,0,100,22.22,100,15,13,53.57,7,10,41.18,0,1,0,0,90,30,24,55.56,9,8,52.94,0,0,-,0,100,7.69,96.3,1.04,0
"2020-08-15 - Lightning 3, Blue Jackets 2",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,60,34,74,31.48,25,50,33.33,17,34,33.33,2,3,40,2.1,3.36,38.45,16,21,43.24,5,13,27.78,2,8,20,1,1,50,50,87.5,11,8,57.89,7,3,70,1,0,100,14.29,100,15,47,24.19,6,20,23.08,0,2,0,0,90,11.76,91.18,1.029,0
"2020-08-15 - Lightning 3, Blue Jackets 2",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,60,74,34,68.52,50,25,66.67,34,17,66.67,3,2,60,3.36,2.1,61.55,21,16,56.76,13,5,72.22,8,2,80,1,1,50,12.5,50,8,11,42.11,3,7,30,0,1,0,0,85.71,47,15,75.81,20,6,76.92,2,0,100,10,100,8.82,88.24,0.971,0
