Game,Team,,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2020-08-16 - Blues 3, Canucks 2",St Louis Blues,Limited ReportFull ReportSeries Report,75.1,94,63,59.87,64,51,55.65,49,41,54.44,3,2,60,3.73,2.06,64.41,50,26,65.79,20,9,68.97,12,7,63.16,2,2,50,16.67,71.43,30,17,63.83,11,11,50,0,0,-,0,100,40,32,55.56,25,21,54.35,1,0,100,4,100,6.12,95.12,1.012,0
"2020-08-16 - Blues 3, Canucks 2",Vancouver Canucks,Limited ReportFull ReportSeries Report,75.1,63,94,40.13,51,64,44.35,41,49,45.56,2,3,40,2.06,3.73,35.59,26,50,34.21,9,20,31.03,7,12,36.84,2,2,50,28.57,83.33,17,30,36.17,11,11,50,0,0,-,0,100,32,40,44.44,21,25,45.65,0,1,0,0,96,4.88,93.88,0.988,0
"2020-08-16 - Capitals 1, Islanders 2",New York Islanders,Limited ReportFull ReportSeries Report,64.466666666667,69,55,55.65,50,36,58.14,34,23,59.65,2,1,66.67,3.23,1.65,66.2,35,25,58.33,16,6,72.73,11,6,64.71,2,0,100,18.18,100,19,19,50,6,6,50,0,1,0,0,83.33,28,29,49.12,12,10,54.55,0,0,-,0,100,5.88,95.65,1.015,0
"2020-08-16 - Capitals 1, Islanders 2",Washington Capitals,Limited ReportFull ReportSeries Report,64.466666666667,55,69,44.35,36,50,41.86,23,34,40.35,1,2,33.33,1.65,3.23,33.8,25,35,41.67,6,16,27.27,6,11,35.29,0,2,0,0,81.82,19,19,50,6,6,50,1,0,100,16.67,100,29,28,50.88,10,12,45.45,0,0,-,0,100,4.35,94.12,0.985,0
"2020-08-16 - Flyers 1, Canadiens 0",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,61,46,57.01,37,36,50.68,23,20,53.49,0,1,0,1.54,1.76,46.68,18,22,45,4,8,33.33,2,4,33.33,0,1,0,0,75,14,14,50,3,7,30,0,0,-,0,100,38,23,62.3,15,9,62.5,0,0,-,0,100,0,95,0.95,0
"2020-08-16 - Flyers 1, Canadiens 0",Philadelphia Flyers,Limited ReportFull ReportSeries Report,60,46,61,42.99,36,37,49.32,20,23,46.51,1,0,100,1.76,1.54,53.32,22,18,55,8,4,66.67,4,2,66.67,1,0,100,25,100,14,14,50,7,3,70,0,0,-,0,100,23,38,37.7,9,15,37.5,0,0,-,0,100,5,100,1.05,0
"2020-08-16 - Golden Knights 1, Blackhawks 3",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,45,96,31.91,33,64,34.02,25,49,33.78,3,1,75,2.36,3.71,38.89,14,43,24.56,5,16,23.81,5,11,31.25,2,0,100,40,100,9,27,25,5,13,27.78,0,0,-,0,100,25,46,35.21,12,23,34.29,1,1,50,8.33,95.65,12,97.96,1.1,0
"2020-08-16 - Golden Knights 1, Blackhawks 3",Vegas Golden Knights,Limited ReportFull ReportSeries Report,60,96,45,68.09,64,33,65.98,49,25,66.22,1,3,25,3.71,2.36,61.11,43,14,75.44,16,5,76.19,11,5,68.75,0,2,0,0,60,27,9,75,13,5,72.22,0,0,-,0,100,46,25,64.79,23,12,65.71,1,1,50,4.35,91.67,2.04,88,0.9,0
"2020-08-16 - Stars 5, Flames 4",Calgary Flames,Limited ReportFull ReportSeries Report,76.083333333333,60,108,35.71,46,82,35.94,40,62,39.22,4,5,44.44,2.9,5.12,36.2,22,56,28.21,11,26,29.73,9,18,33.33,3,3,50,33.33,83.33,11,30,26.83,7,11,38.89,0,1,0,0,90.91,32,49,39.51,21,31,40.38,1,1,50,4.76,96.77,10,91.94,1.019,0
"2020-08-16 - Stars 5, Flames 4",Dallas Stars,Limited ReportFull ReportSeries Report,76.083333333333,108,60,64.29,82,46,64.06,62,40,60.78,5,4,55.56,5.12,2.9,63.8,56,22,71.79,26,11,70.27,18,9,66.67,3,3,50,16.67,66.67,30,11,73.17,11,7,61.11,1,0,100,9.09,100,49,32,60.49,31,21,59.62,1,1,50,3.23,95.24,8.06,90,0.981,0
"2020-08-17 - Avalanche 7, Coyotes 1",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,32,62,34.04,19,45,29.69,15,30,33.33,1,7,12.5,0.89,3.6,19.74,15,30,33.33,4,16,20,3,14,17.65,0,6,0,0,57.14,11,14,44,4,3,57.14,0,1,0,0,66.67,14,25,35.9,6,10,37.5,1,0,100,16.67,100,6.67,76.67,0.833,0
"2020-08-17 - Avalanche 7, Coyotes 1",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,62,32,65.96,45,19,70.31,30,15,66.67,7,1,87.5,3.6,0.89,80.26,30,15,66.67,16,4,80,14,3,82.35,6,0,100,42.86,100,14,11,56,3,4,42.86,1,0,100,33.33,100,25,14,64.1,10,6,62.5,0,1,0,0,83.33,23.33,93.33,1.167,0
"2020-08-17 - Blues 3, Canucks 1",St Louis Blues,Limited ReportFull ReportSeries Report,60,61,49,55.45,48,34,58.54,37,23,61.67,3,1,75,3.64,2,64.48,24,20,54.55,11,8,57.89,7,5,58.33,2,0,100,28.57,100,13,12,52,11,6,64.71,1,1,50,9.09,83.33,30,24,55.56,16,10,61.54,0,0,-,0,100,8.11,95.65,1.038,0
"2020-08-17 - Blues 3, Canucks 1",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,49,61,44.55,34,48,41.46,23,37,38.33,1,3,25,2,3.64,35.52,20,24,45.45,8,11,42.11,5,7,41.67,0,2,0,0,71.43,12,13,48,6,11,35.29,1,1,50,16.67,90.91,24,30,44.44,10,16,38.46,0,0,-,0,100,4.35,91.89,0.962,0
"2020-08-17 - Bruins 4, Hurricanes 3",Boston Bruins,Limited ReportFull ReportSeries Report,60,66,42,61.11,48,27,64,33,19,63.46,4,3,57.14,3.25,1.04,75.66,35,16,68.63,17,7,70.83,10,5,66.67,2,1,66.67,20,80,18,9,66.67,8,2,80,2,1,66.67,25,50,27,22,55.1,13,9,59.09,0,1,0,0,88.89,12.12,84.21,0.963,0
"2020-08-17 - Bruins 4, Hurricanes 3",Carolina Hurricanes,Limited ReportFull ReportSeries Report,60,42,66,38.89,27,48,36,19,33,36.54,3,4,42.86,1.04,3.25,24.34,16,35,31.37,7,17,29.17,5,10,33.33,1,2,33.33,20,80,9,18,33.33,2,8,20,1,2,33.33,50,75,22,27,44.9,9,13,40.91,1,0,100,11.11,100,15.79,87.88,1.037,0
"2020-08-17 - Lightning 2, Blue Jackets 1",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,60,51,51,50,39,33,54.17,29,22,56.86,1,2,33.33,1.61,2.62,38.11,22,20,52.38,7,11,38.89,6,8,42.86,1,2,33.33,16.67,75,15,9,62.5,10,4,71.43,0,0,-,0,100,26,30,46.43,11,10,52.38,0,0,-,0,100,3.45,90.91,0.944,0
"2020-08-17 - Lightning 2, Blue Jackets 1",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,60,51,51,50,33,39,45.83,22,29,43.14,2,1,66.67,2.62,1.61,61.89,20,22,47.62,11,7,61.11,8,6,57.14,2,1,66.67,25,83.33,9,15,37.5,4,10,28.57,0,0,-,0,100,30,26,53.57,10,11,47.62,0,0,-,0,100,9.09,96.55,1.056,0
"2020-08-18 - Blackhawks 3, Golden Knights 4",Chicago Blackhawks,Limited ReportFull ReportSeries Report,60,52,68,43.33,34,49,40.96,26,39,40,3,4,42.86,1.95,3.75,34.25,26,34,43.33,11,16,40.74,9,11,45,3,2,60,33.33,81.82,15,18,45.45,5,10,33.33,0,1,0,0,90,22,28,44,11,17,39.29,0,1,0,0,94.12,11.54,89.74,1.013,0
"2020-08-18 - Blackhawks 3, Golden Knights 4",Vegas Golden Knights,Limited ReportFull ReportSeries Report,60,68,52,56.67,49,34,59.04,39,26,60,4,3,57.14,3.75,1.95,65.75,34,26,56.67,16,11,59.26,11,9,55,2,3,40,18.18,66.67,18,15,54.55,10,5,66.67,1,0,100,10,100,28,22,56,17,11,60.71,1,0,100,5.88,100,10.26,88.46,0.987,0
"2020-08-18 - Capitals 3, Islanders 2",New York Islanders,Limited ReportFull ReportSeries Report,60,53,64,45.3,39,51,43.33,26,29,47.27,2,3,40,2.56,2.9,46.88,22,33,40,11,7,61.11,9,5,64.29,1,1,50,11.11,80,11,26,29.73,7,11,38.89,1,1,50,14.29,90.91,22,28,44,9,13,40.91,0,1,0,0,92.31,7.69,89.66,0.973,0
"2020-08-18 - Capitals 3, Islanders 2",Washington Capitals,Limited ReportFull ReportSeries Report,60,64,53,54.7,51,39,56.67,29,26,52.73,3,2,60,2.9,2.56,53.12,33,22,60,7,11,38.89,5,9,35.71,1,1,50,20,88.89,26,11,70.27,11,7,61.11,1,1,50,9.09,85.71,28,22,56,13,9,59.09,1,0,100,7.69,100,10.34,92.31,1.027,0
"2020-08-18 - Flames 1, Stars 2",Calgary Flames,Limited ReportFull ReportSeries Report,60,68,64,51.52,48,49,49.48,29,32,47.54,1,2,33.33,2.02,2.16,48.25,24,30,44.44,8,10,44.44,5,5,50,0,1,0,0,80,16,20,44.44,8,8,50,1,0,100,12.5,100,36,30,54.55,14,15,48.28,0,1,0,0,93.33,3.45,93.75,0.972,0
"2020-08-18 - Flames 1, Stars 2",Dallas Stars,Limited ReportFull ReportSeries Report,60,64,68,48.48,49,48,50.52,32,29,52.46,2,1,66.67,2.16,2.02,51.75,30,24,55.56,10,8,55.56,5,5,50,1,0,100,20,100,20,16,55.56,8,8,50,0,1,0,0,87.5,30,36,45.45,15,14,51.72,1,0,100,6.67,100,6.25,96.55,1.028,0
"2020-08-18 - Flyers 2, Canadiens 0",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,58,52,52.73,45,39,53.57,29,22,56.86,0,2,0,1.66,1.37,54.86,21,18,53.85,11,4,73.33,4,1,80,0,0,-,0,100,10,14,41.67,5,5,50,0,1,0,0,80,35,33,51.47,18,15,54.55,0,1,0,0,93.33,0,90.91,0.909,0
"2020-08-18 - Flyers 2, Canadiens 0",Philadelphia Flyers,Limited ReportFull ReportSeries Report,60,52,58,47.27,39,45,46.43,22,29,43.14,2,0,100,1.37,1.66,45.14,18,21,46.15,4,11,26.67,1,4,20,0,0,-,0,100,14,10,58.33,5,5,50,1,0,100,20,100,33,35,48.53,15,18,45.45,1,0,100,6.67,100,9.09,100,1.091,0
"2020-08-19 - Blue Jackets 4, Lightning 5",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,65.2,75,49,60.48,57,36,61.29,41,25,62.12,4,5,44.44,4.1,1.54,72.66,36,17,67.92,16,11,59.26,12,10,54.55,3,2,60,25,80,20,6,76.92,9,3,75,1,1,50,11.11,66.67,37,31,54.41,18,12,60,0,2,0,0,83.33,9.76,80,0.898,0
"2020-08-19 - Blue Jackets 4, Lightning 5",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,65.2,49,75,39.52,36,57,38.71,25,41,37.88,5,4,55.56,1.54,4.1,27.34,17,36,32.08,11,16,40.74,10,12,45.45,2,3,40,20,75,6,20,23.08,3,9,25,1,1,50,33.33,88.89,31,37,45.59,12,18,40,2,0,100,16.67,100,20,90.24,1.102,0
"2020-08-19 - Canadiens 5, Flyers 3",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,54,67,44.63,45,44,50.56,33,29,53.23,5,3,62.5,2.94,2.94,50.01,26,38,40.63,9,15,37.5,5,9,35.71,2,1,66.67,40,88.89,17,23,42.5,12,9,57.14,2,1,66.67,16.67,88.89,24,21,53.33,13,6,68.42,0,1,0,0,83.33,15.15,89.66,1.048,0
"2020-08-19 - Canadiens 5, Flyers 3",Philadelphia Flyers,Limited ReportFull ReportSeries Report,60,67,54,55.37,44,45,49.44,29,33,46.77,3,5,37.5,2.94,2.94,49.99,38,26,59.38,15,9,62.5,9,5,64.29,1,2,33.33,11.11,60,23,17,57.5,9,12,42.86,1,2,33.33,11.11,83.33,21,24,46.67,6,13,31.58,1,0,100,16.67,100,10.34,84.85,0.952,0
"2020-08-19 - Canucks 4, Blues 3",St Louis Blues,Limited ReportFull ReportSeries Report,60,61,72,45.86,46,46,50,39,30,56.52,3,4,42.86,2.86,2.97,49.09,26,35,42.62,11,12,47.83,9,6,60,0,3,0,0,50,15,23,39.47,11,8,57.89,2,0,100,18.18,100,31,30,50.82,18,14,56.25,1,1,50,5.56,92.86,7.69,86.67,0.944,0
"2020-08-19 - Canucks 4, Blues 3",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,72,61,54.14,46,46,50,30,39,43.48,4,3,57.14,2.97,2.86,50.91,35,26,57.38,12,11,52.17,6,9,40,3,0,100,50,100,23,15,60.53,8,11,42.11,0,2,0,0,81.82,30,31,49.18,14,18,43.75,1,1,50,7.14,94.44,13.33,92.31,1.056,0
"2020-08-19 - Coyotes 1, Avalanche 7",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,51,58,46.79,32,43,42.67,24,36,40,1,7,12.5,1.63,2.92,35.8,20,36,35.71,10,13,43.48,8,12,40,1,4,20,12.5,66.67,10,23,30.3,6,12,33.33,0,2,0,0,83.33,25,20,55.56,10,10,50,0,1,0,0,90,4.17,80.56,0.847,0
"2020-08-19 - Coyotes 1, Avalanche 7",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,58,51,53.21,43,32,57.33,36,24,60,7,1,87.5,2.92,1.63,64.2,36,20,64.29,13,10,56.52,12,8,60,4,1,80,33.33,87.5,23,10,69.7,12,6,66.67,2,0,100,16.67,100,20,25,44.44,10,10,50,1,0,100,10,100,19.44,95.83,1.153,0
"2020-08-19 - Hurricanes 1, Bruins 2",Boston Bruins,Limited ReportFull ReportSeries Report,60,47,60,43.93,37,43,46.25,27,24,52.94,2,1,66.67,2.46,2.91,45.86,22,38,36.67,9,14,39.13,4,8,33.33,1,0,100,25,100,13,24,35.14,7,6,53.85,1,1,50,14.29,83.33,23,20,53.49,15,8,65.22,0,0,-,0,100,7.41,95.83,1.032,0
"2020-08-19 - Hurricanes 1, Bruins 2",Carolina Hurricanes,Limited ReportFull ReportSeries Report,60,60,47,56.07,43,37,53.75,24,27,47.06,1,2,33.33,2.91,2.46,54.14,38,22,63.33,14,9,60.87,8,4,66.67,0,1,0,0,75,24,13,64.86,6,7,46.15,1,1,50,16.67,85.71,20,23,46.51,8,15,34.78,0,0,-,0,100,4.17,92.59,0.968,0
"2020-08-20 - Islanders 4, Capitals 0",New York Islanders,Limited ReportFull ReportSeries Report,60,32,66,32.65,25,35,41.67,17,21,44.74,4,0,100,2.3,1.37,62.65,16,19,45.71,7,6,53.85,4,3,57.14,1,0,100,25,100,9,13,40.91,5,7,41.67,1,0,100,20,100,12,39,23.53,5,8,38.46,0,0,-,0,100,23.53,100,1.235,0
"2020-08-20 - Islanders 4, Capitals 0",Washington Capitals,Limited ReportFull ReportSeries Report,60,66,32,67.35,35,25,58.33,21,17,55.26,0,4,0,1.37,2.3,37.35,19,16,54.29,6,7,46.15,3,4,42.86,0,1,0,0,75,13,9,59.09,7,5,58.33,0,1,0,0,80,39,12,76.47,8,5,61.54,0,0,-,0,100,0,76.47,0.765,0
"2020-08-20 - Stars 7, Flames 3",Calgary Flames,Limited ReportFull ReportSeries Report,60,80,41,66.12,56,32,63.64,41,24,63.08,3,7,30,3.6,2.42,59.86,41,20,67.21,15,9,62.5,11,5,68.75,0,4,0,0,20,26,11,70.27,11,6,64.71,3,1,75,27.27,83.33,33,17,66,17,10,62.96,0,2,0,0,80,7.32,70.83,0.782,0
"2020-08-20 - Stars 7, Flames 3",Dallas Stars,Limited ReportFull ReportSeries Report,60,41,80,33.88,32,56,36.36,24,41,36.92,7,3,70,2.42,3.6,40.14,20,41,32.79,9,15,37.5,5,11,31.25,4,0,100,80,100,11,26,29.73,6,11,35.29,1,3,25,16.67,72.73,17,33,34,10,17,37.04,2,0,100,20,100,29.17,92.68,1.218,0
"2020-08-21 - Blues 2, Canucks 6",St Louis Blues,Limited ReportFull ReportSeries Report,60,77,46,62.6,49,36,57.65,36,25,59.02,2,6,25,3.45,3.37,50.54,41,26,61.19,17,8,68,11,6,64.71,1,2,33.33,9.09,66.67,24,18,57.14,9,8,52.94,0,2,0,0,75,29,17,63.04,13,8,61.9,1,1,50,7.69,87.5,5.56,76,0.816,0
"2020-08-21 - Blues 2, Canucks 6",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,46,77,37.4,36,49,42.35,25,36,40.98,6,2,75,3.37,3.45,49.46,26,41,38.81,8,17,32,6,11,35.29,2,1,66.67,33.33,90.91,18,24,42.86,8,9,47.06,2,0,100,25,100,17,29,36.96,8,13,38.1,1,1,50,12.5,92.31,24,94.44,1.184,0
"2020-08-21 - Flyers 3, Canadiens 2",Montreal Canadiens,Limited ReportFull ReportSeries Report,60,71,35,66.98,50,26,65.79,33,17,66,2,3,40,2.59,1.34,65.85,27,15,64.29,12,4,75,8,4,66.67,1,1,50,12.5,75,15,11,57.69,6,4,60,0,0,-,0,100,42,18,70,17,8,68,1,2,33.33,5.88,75,6.06,82.35,0.884,0
"2020-08-21 - Flyers 3, Canadiens 2",Philadelphia Flyers,Limited ReportFull ReportSeries Report,60,35,71,33.02,26,50,34.21,17,33,34,3,2,60,1.34,2.59,34.15,15,27,35.71,4,12,25,4,8,33.33,1,1,50,25,87.5,11,15,42.31,4,6,40,0,0,-,0,100,18,42,30,8,17,32,2,1,66.67,25,94.12,17.65,93.94,1.116,0
"2020-08-22 - Stars 5, Avalanche 3",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,57,51,52.78,36,39,48,31,30,50.82,3,5,37.5,2.1,2.11,49.78,25,27,48.08,8,11,42.11,8,8,50,2,3,40,25,62.5,17,16,51.52,7,9,43.75,1,1,50,14.29,88.89,27,19,58.7,13,9,59.09,0,1,0,0,88.89,9.68,83.33,0.93,0
"2020-08-22 - Stars 5, Avalanche 3",Dallas Stars,Limited ReportFull ReportSeries Report,60,51,57,47.22,39,36,52,30,31,49.18,5,3,62.5,2.11,2.1,50.22,27,25,51.92,11,8,57.89,8,8,50,3,2,60,37.5,75,16,17,48.48,9,7,56.25,1,1,50,11.11,85.71,19,27,41.3,9,13,40.91,1,0,100,11.11,100,16.67,90.32,1.07,0
"2020-08-23 - Bruins 3, Lightning 2",Boston Bruins,Limited ReportFull ReportSeries Report,60,63,72,46.67,44,52,45.83,31,37,45.59,3,2,60,2.79,3.23,46.3,31,34,47.69,11,13,45.83,9,12,42.86,2,0,100,22.22,100,20,21,48.78,8,7,53.33,1,1,50,12.5,85.71,26,33,44.07,9,16,36,0,1,0,0,93.75,9.68,94.59,1.043,0
"2020-08-23 - Bruins 3, Lightning 2",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,60,72,63,53.33,52,44,54.17,37,31,54.41,2,3,40,3.23,2.79,53.7,34,31,52.31,13,11,54.17,12,9,57.14,0,2,0,0,77.78,21,20,51.22,7,8,46.67,1,1,50,14.29,87.5,33,26,55.93,16,9,64,1,0,100,6.25,100,5.41,90.32,0.957,0
"2020-08-23 - Canucks 0, Golden Knights 5",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,62,73,45.93,37,52,41.57,26,39,40,0,5,0,1.51,3.49,30.2,28,35,44.44,7,14,33.33,3,13,18.75,0,5,0,0,61.54,21,21,50,6,6,50,0,0,-,0,100,28,34,45.16,13,18,41.94,0,0,-,0,100,0,87.18,0.872,0
"2020-08-23 - Canucks 0, Golden Knights 5",Vegas Golden Knights,Limited ReportFull ReportSeries Report,60,73,62,54.07,52,37,58.43,39,26,60,5,0,100,3.49,1.51,69.8,35,28,55.56,14,7,66.67,13,3,81.25,5,0,100,38.46,100,21,21,50,6,6,50,0,0,-,0,100,34,28,54.84,18,13,58.06,0,0,-,0,100,12.82,100,1.128,0
"2020-08-24 - Islanders 4, Flyers 0",New York Islanders,Limited ReportFull ReportSeries Report,60,51,67,43.22,41,45,47.67,29,29,50,4,0,100,3.44,2.33,59.62,32,29,52.46,11,9,55,9,6,60,1,0,100,11.11,100,21,20,51.22,9,7,56.25,0,0,-,0,100,17,31,35.42,10,13,43.48,2,0,100,20,100,13.79,100,1.138,0
"2020-08-24 - Islanders 4, Flyers 0",Philadelphia Flyers,Limited ReportFull ReportSeries Report,60,67,51,56.78,45,41,52.33,29,29,50,0,4,0,2.33,3.44,40.38,29,32,47.54,9,11,45,6,9,40,0,1,0,0,88.89,20,21,48.78,7,9,43.75,0,0,-,0,100,31,17,64.58,13,10,56.52,0,2,0,0,80,0,86.21,0.862,0
"2020-08-24 - Stars 5, Avalanche 2",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,74,34,68.52,53,30,63.86,40,27,59.7,2,5,28.57,3.62,3.34,51.98,30,19,61.22,14,11,56,13,10,56.52,1,4,20,7.69,60,16,8,66.67,6,7,46.15,1,0,100,16.67,100,41,14,74.55,20,9,68.97,0,0,-,0,100,5,81.48,0.865,0
"2020-08-24 - Stars 5, Avalanche 2",Dallas Stars,Limited ReportFull ReportSeries Report,60,34,74,31.48,30,53,36.14,27,40,40.3,5,2,71.43,3.34,3.62,48.02,19,30,38.78,11,14,44,10,13,43.48,4,1,80,40,92.31,8,16,33.33,7,6,53.85,0,1,0,0,83.33,14,41,25.45,9,20,31.03,0,0,-,0,100,18.52,95,1.135,0
"2020-08-25 - Bruins 3, Lightning 4",Boston Bruins,Limited ReportFull ReportSeries Report,64.666666666667,54,86,38.57,36,59,37.89,25,40,38.46,3,4,42.86,1.76,3.69,32.31,26,34,43.33,6,16,27.27,5,12,29.41,3,3,50,60,75,20,18,52.63,7,8,46.67,0,1,0,0,87.5,18,45,28.57,7,19,26.92,0,0,-,0,100,12,90,1.02,0
"2020-08-25 - Bruins 3, Lightning 4",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,64.666666666667,86,54,61.43,59,36,62.11,40,25,61.54,4,3,57.14,3.69,1.76,67.69,34,26,56.67,16,6,72.73,12,5,70.59,3,3,50,25,40,18,20,47.37,8,7,53.33,1,0,100,12.5,100,45,18,71.43,19,7,73.08,0,0,-,0,100,10,88,0.98,0
"2020-08-25 - Canucks 5, Golden Knights 2",Vancouver Canucks,Limited ReportFull ReportSeries Report,60,56,93,37.58,41,53,43.62,27,40,40.3,5,2,71.43,3.75,3.38,52.58,27,42,39.13,14,14,50,11,13,45.83,5,0,100,45.45,100,13,28,31.71,4,8,33.33,0,1,0,0,87.5,25,45,35.71,9,17,34.62,0,1,0,0,94.12,18.52,95,1.135,0
"2020-08-25 - Canucks 5, Golden Knights 2",Vegas Golden Knights,Limited ReportFull ReportSeries Report,60,93,56,62.42,53,41,56.38,40,27,59.7,2,5,28.57,3.38,3.75,47.42,42,27,60.87,14,14,50,13,11,54.17,0,5,0,0,54.55,28,13,68.29,8,4,66.67,1,0,100,12.5,100,45,25,64.29,17,9,65.38,1,0,100,5.88,100,5,81.48,0.865,0
"2020-08-26 - Avalanche 6, Stars 4",Colorado Avalanche,Limited ReportFull ReportSeries Report,60,63,69,47.73,44,44,50,32,37,46.38,6,4,60,3.24,3.89,45.47,26,31,45.61,9,17,34.62,8,14,36.36,2,1,66.67,25,92.86,17,14,54.84,10,4,71.43,3,1,75,30,75,33,30,52.38,14,16,46.67,1,2,33.33,7.14,87.5,18.75,89.19,1.079,0
"2020-08-26 - Avalanche 6, Stars 4",Dallas Stars,Limited ReportFull ReportSeries Report,60,69,63,52.27,44,44,50,37,32,53.62,4,6,40,3.89,3.24,54.53,31,26,54.39,17,9,65.38,14,8,63.64,1,2,33.33,7.14,75,14,17,45.16,4,10,28.57,1,3,25,25,70,30,33,47.62,16,14,53.33,2,1,66.67,12.5,92.86,10.81,81.25,0.921,0
"2020-08-26 - Islanders 3, Flyers 4",New York Islanders,Limited ReportFull ReportSeries Report,62.683333333333,71,53,57.26,54,40,57.45,34,31,52.31,3,4,42.86,3.23,2.17,59.85,32,27,54.24,15,9,62.5,11,6,64.71,2,2,50,18.18,66.67,17,18,48.57,8,10,44.44,1,1,50,12.5,90,37,22,62.71,14,13,51.85,0,1,0,0,92.31,8.82,87.1,0.959,0
"2020-08-26 - Islanders 3, Flyers 4",Philadelphia Flyers,Limited ReportFull ReportSeries Report,62.683333333333,53,71,42.74,40,54,42.55,31,34,47.69,4,3,57.14,2.17,3.23,40.15,27,32,45.76,9,15,37.5,6,11,35.29,2,2,50,33.33,81.82,18,17,51.43,10,8,55.56,1,1,50,10,87.5,22,37,37.29,13,14,48.15,1,0,100,7.69,100,12.9,91.18,1.041,0
"2020-08-26 - Lightning 7, Bruins 1",Boston Bruins,Limited ReportFull ReportSeries Report,60,52,54,49.06,37,42,46.84,24,31,43.64,1,7,12.5,2.03,2.03,49.9,18,23,43.9,8,9,47.06,6,7,46.15,1,5,16.67,16.67,28.57,10,14,41.67,4,4,50,0,0,-,0,100,29,30,49.15,14,19,42.42,0,2,0,0,89.47,4.17,77.42,0.816,0
"2020-08-26 - Lightning 7, Bruins 1",Tampa Bay Lightning,Limited ReportFull ReportSeries Report,60,54,52,50.94,42,37,53.16,31,24,56.36,7,1,87.5,2.03,2.03,50.1,23,18,56.1,9,8,52.94,7,6,53.85,5,1,83.33,71.43,83.33,14,10,58.33,4,4,50,0,0,-,0,100,30,29,50.85,19,14,57.58,2,0,100,10.53,100,22.58,95.83,1.184,0
"2020-08-29 - Flyers 1, Islanders 3",New York Islanders,Limited ReportFull ReportSeries Report,60,57,63,47.5,43,45,48.86,29,27,51.79,3,1,75,2.69,2.27,54.26,29,28,50.88,17,11,60.71,12,6,66.67,2,0,100,16.67,100,12,17,41.38,4,2,66.67,1,0,100,25,100,25,34,42.37,11,19,36.67,0,1,0,0,94.74,10.34,96.3,1.066,0
